,u,i,ts,label,idx
101,453,1752,224121600.0,0,102
102,834,1829,224294400.0,0,103
103,716,1832,224294400.0,0,104
104,248,1758,224467200.0,0,105
105,738,1790,224812800.0,0,106
106,267,1906,225158400.0,0,107
107,610,1788,225244800.0,0,108
108,227,1746,225504000.0,0,109
109,72,1788,225676800.0,0,110
110,139,1765,226108800.0,0,111
111,500,1790,226108800.0,0,112
112,694,1782,226281600.0,0,113
113,248,1788,226368000.0,0,114
114,80,1773,226454400.0,0,115
115,446,1746,226713600.0,0,116
116,446,1747,226713600.0,0,117
117,446,1748,226713600.0,0,118
118,446,2322,226713600.0,0,119
119,915,1865,226972800.0,0,120
120,325,1728,227577600.0,0,121
121,325,1734,227577600.0,0,122
122,325,1885,227577600.0,0,123
123,325,1921,227577600.0,0,124
124,325,1922,227577600.0,0,125
125,151,1748,227750400.0,0,126
126,521,1758,227836800.0,0,127
127,139,2169,227836800.0,0,128
128,227,1715,227923200.0,0,129
129,417,1739,228268800.0,0,130
130,30,1691,228528000.0,0,131
131,921,1842,229219200.0,0,132
132,725,1788,229392000.0,0,133
133,1186,1880,229478400.0,0,134
134,64,2002,229910400.0,0,135
135,151,1717,230169600.0,0,136
136,564,1767,230428800.0,0,137
137,250,1748,230860800.0,0,138
138,805,1905,231206400.0,0,139
139,31,1737,231552000.0,0,140
140,710,1786,232416000.0,0,141
141,710,1788,232416000.0,0,142
142,687,2100,232416000.0,0,143
143,293,1723,233107200.0,0,144
144,453,1748,233107200.0,0,145
145,441,1782,233107200.0,0,146
146,753,1793,233280000.0,0,147
147,1236,1928,234144000.0,0,148
148,713,1788,234489600.0,0,149
149,709,1786,235267200.0,0,150
150,489,1859,235267200.0,0,151
151,337,1730,235526400.0,0,152
152,337,1733,235526400.0,0,153
153,852,1819,235526400.0,0,154
154,852,1820,235526400.0,0,155
155,337,1762,235612800.0,0,156
156,699,1841,235612800.0,0,157
157,614,1773,235699200.0,0,158
158,1207,1885,236217600.0,0,159
159,687,1780,237081600.0,0,160
160,713,1819,237859200.0,0,161
161,290,1722,238982400.0,0,162
162,713,1787,239068800.0,0,163
163,470,1752,239155200.0,0,164
164,1136,1974,239414400.0,0,165
165,441,1752,240278400.0,0,166
166,116,1836,240364800.0,0,167
167,447,1747,240537600.0,0,168
168,525,1759,240969600.0,0,169
169,525,1832,240969600.0,0,170
170,525,1950,240969600.0,0,171
171,130,1922,241056000.0,0,172
172,257,1717,241660800.0,0,173
173,423,2046,242784000.0,0,174
174,196,1846,243820800.0,0,175
175,445,1746,245289600.0,0,176
176,772,1798,245808000.0,0,177
177,851,1819,245894400.0,0,178
178,1391,2046,245980800.0,0,179
179,419,1739,246067200.0,0,180
180,620,1819,247536000.0,0,181
181,1206,1885,248572800.0,0,182
182,722,1788,249436800.0,0,183
183,442,1787,250214400.0,0,184
184,442,1793,250214400.0,0,185
185,1307,1928,250473600.0,0,186
186,240,1929,250732800.0,0,187
187,200,1709,250905600.0,0,188
188,310,1929,251769600.0,0,189
189,1472,2005,252374400.0,0,190
190,322,1744,252547200.0,0,191
191,328,1728,252633600.0,0,192
192,463,1750,252892800.0,0,193
193,548,1765,252979200.0,0,194
194,120,1767,253497600.0,0,195
195,1136,1863,253497600.0,0,196
196,731,1977,253584000.0,0,197
197,221,1744,253756800.0,0,198
198,446,2124,253843200.0,0,199
199,757,2002,254102400.0,0,200
200,31,1691,254188800.0,0,201
201,691,1847,254188800.0,0,202
202,610,1772,254275200.0,0,203
203,442,1747,254361600.0,0,204
204,137,1700,254448000.0,0,205
205,101,1846,254880000.0,0,206
206,460,1750,255312000.0,0,207
207,757,1793,255312000.0,0,208
208,535,1904,255312000.0,0,209
209,238,1715,255484800.0,0,210
210,139,1767,255830400.0,0,211
211,223,1745,256003200.0,0,212
212,223,2074,256003200.0,0,213
213,442,1865,256262400.0,0,214
214,1362,1950,256262400.0,0,215
215,1546,2074,256348800.0,0,216
216,731,2084,256348800.0,0,217
217,442,1744,256953600.0,0,218
218,223,1713,257040000.0,0,219
219,420,1751,257040000.0,0,220
220,153,1702,257126400.0,0,221
221,156,1702,257299200.0,0,222
222,157,2084,257472000.0,0,223
223,535,1899,257558400.0,0,224
224,550,2016,257904000.0,0,225
225,1251,1905,258076800.0,0,226
226,223,1747,258163200.0,0,227
227,223,2075,258163200.0,0,228
228,617,1940,258336000.0,0,229
229,223,2077,258508800.0,0,230
230,805,1812,258595200.0,0,231
231,196,1757,258768000.0,0,232
232,261,1769,258940800.0,0,233
233,535,1786,259027200.0,0,234
234,16,1702,259113600.0,0,235
235,1038,2081,259286400.0,0,236
236,54,2058,259545600.0,0,237
237,419,2070,259718400.0,0,238
238,502,2129,259718400.0,0,239
239,450,1748,259804800.0,0,240
240,412,1798,259804800.0,0,241
241,525,1924,259977600.0,0,242
242,525,1942,259977600.0,0,243
243,100,1697,260496000.0,0,244
244,100,1718,260496000.0,0,245
245,825,1873,260496000.0,0,246
246,100,2074,260496000.0,0,247
247,826,1815,261705600.0,0,248
248,1128,2057,261705600.0,0,249
249,442,1761,262051200.0,0,250
250,603,1770,262137600.0,0,251
251,103,1743,262224000.0,0,252
252,423,2089,262310400.0,0,253
253,189,1790,262483200.0,0,254
254,195,1710,262915200.0,0,255
255,120,1697,263088000.0,0,256
256,466,1751,263088000.0,0,257
257,54,2060,263088000.0,0,258
258,359,1860,263174400.0,0,259
259,359,1919,263174400.0,0,260
260,359,1920,263174400.0,0,261
261,359,1922,263174400.0,0,262
262,100,1957,263174400.0,0,263
263,359,1988,263174400.0,0,264
264,54,2072,263174400.0,0,265
265,359,1732,263260800.0,0,266
266,359,1744,263260800.0,0,267
267,359,1772,263260800.0,0,268
268,157,2081,263520000.0,0,269
269,157,2092,263520000.0,0,270
270,157,2115,263606400.0,0,271
271,411,2058,264297600.0,0,272
272,307,1905,264470400.0,0,273
273,440,2018,264470400.0,0,274
274,100,2065,264729600.0,0,275
275,100,2068,264729600.0,0,276
276,100,2076,264729600.0,0,277
277,827,1815,264902400.0,0,278
278,527,1760,264988800.0,0,279
279,709,2018,264988800.0,0,280
280,122,1697,265161600.0,0,281
281,337,1885,265248000.0,0,282
282,337,1922,265248000.0,0,283
283,939,1847,265852800.0,0,284
284,120,1880,266198400.0,0,285
285,409,1737,266544000.0,0,286
286,1548,2074,266544000.0,0,287
287,285,1900,266803200.0,0,288
288,527,1995,266976000.0,0,289
289,723,1788,267062400.0,0,290
290,723,1834,267062400.0,0,291
291,352,1918,267235200.0,0,292
292,213,1863,267321600.0,0,293
293,493,2114,267408000.0,0,294
294,601,1770,267840000.0,0,295
295,601,2074,267840000.0,0,296
296,715,1787,267926400.0,0,297
297,493,1928,268099200.0,0,298
298,746,1865,268790400.0,0,299
299,190,2055,269049600.0,0,300
300,190,2057,269049600.0,0,301
301,190,2085,269049600.0,0,302
302,792,1808,270432000.0,0,303
303,792,2018,270432000.0,0,304
304,1470,2002,270604800.0,0,305
305,103,1697,270950400.0,0,306
306,1241,1900,271468800.0,0,307
307,880,2074,271555200.0,0,308
308,223,1995,271728000.0,0,309
309,535,2147,272073600.0,0,310
310,754,1852,272160000.0,0,311
311,528,1788,272246400.0,0,312
312,715,1905,272246400.0,0,313
313,853,1950,272246400.0,0,314
314,223,1746,272505600.0,0,315
315,468,1810,272505600.0,0,316
316,805,1950,272505600.0,0,317
317,699,1974,272505600.0,0,318
318,468,1978,272505600.0,0,319
319,1134,2067,272505600.0,0,320
320,15,1918,272764800.0,0,321
321,466,2105,272937600.0,0,322
322,866,2109,273196800.0,0,323
323,699,1782,273283200.0,0,324
324,717,1787,273369600.0,0,325
325,708,1828,273542400.0,0,326
326,188,1985,273542400.0,0,327
327,598,1945,273801600.0,0,328
328,500,1825,274320000.0,0,329
329,189,1709,274406400.0,0,330
330,310,1832,274665600.0,0,331
331,310,1958,274665600.0,0,332
332,598,1769,274752000.0,0,333
333,735,1928,274838400.0,0,334
334,310,1904,275356800.0,0,335
335,134,1997,275788800.0,0,336
336,171,2055,275875200.0,0,337
337,171,2085,275875200.0,0,338
338,705,2100,276393600.0,0,339
339,1340,1989,276480000.0,0,340
340,1128,1856,276566400.0,0,341
341,7,1814,276739200.0,0,342
342,427,1877,276825600.0,0,343
343,705,1784,276912000.0,0,344
344,151,1901,277084800.0,0,345
345,1109,2191,277516800.0,0,346
346,1432,1976,277776000.0,0,347
347,1248,1977,277776000.0,0,348
348,1353,2147,277776000.0,0,349
349,705,1825,278121600.0,0,350
350,1156,1995,278553600.0,0,351
351,150,1702,278726400.0,0,352
352,827,1927,278812800.0,0,353
353,731,2144,279158400.0,0,354
354,770,1958,279763200.0,0,355
355,411,2115,280195200.0,0,356
356,443,1836,280540800.0,0,357
357,904,1835,280713600.0,0,358
358,805,1847,280713600.0,0,359
359,240,1928,281059200.0,0,360
360,682,1976,281145600.0,0,361
361,735,1790,281923200.0,0,362
362,599,2038,282096000.0,0,363
363,785,2054,282182400.0,0,364
364,257,2074,282528000.0,0,365
365,91,2289,282528000.0,0,366
366,246,1968,282614400.0,0,367
367,506,1879,282700800.0,0,368
368,731,1789,282960000.0,0,369
369,195,2052,282960000.0,0,370
370,246,2067,282960000.0,0,371
371,535,2193,282960000.0,0,372
372,195,2193,282960000.0,0,373
373,443,1744,283046400.0,0,374
374,65,2193,283046400.0,0,375
375,1559,2194,283046400.0,0,376
376,143,2194,283046400.0,0,377
377,490,2194,283046400.0,0,378
378,246,1716,283132800.0,0,379
379,213,2193,283132800.0,0,380
380,1340,2193,283132800.0,0,381
381,213,2194,283132800.0,0,382
382,1073,2193,283219200.0,0,383
383,294,1859,283305600.0,0,384
384,1134,2194,283392000.0,0,385
385,213,2001,283478400.0,0,386
386,266,1718,283651200.0,0,387
387,130,2103,283824000.0,0,388
388,825,2194,283910400.0,0,389
389,213,1712,284083200.0,0,390
390,443,2145,284083200.0,0,391
391,149,1702,284169600.0,0,392
392,241,1717,284342400.0,0,393
393,455,1748,284342400.0,0,394
394,455,1758,284342400.0,0,395
395,455,1793,284342400.0,0,396
396,688,1863,284342400.0,0,397
397,1409,2052,284688000.0,0,398
398,1409,2193,284688000.0,0,399
399,627,2193,284688000.0,0,400
400,470,2052,284947200.0,0,401
401,1340,2194,284947200.0,0,402
402,310,1839,285120000.0,0,403
403,502,1754,285292800.0,0,404
404,541,1764,285379200.0,0,405
405,103,1970,285465600.0,0,406
406,1525,2056,285552000.0,0,407
407,1525,2077,285552000.0,0,408
408,411,1738,285638400.0,0,409
409,310,2015,285811200.0,0,410
410,310,1838,285984000.0,0,411
411,122,1976,285984000.0,0,412
412,526,1759,286329600.0,0,413
413,175,1962,286329600.0,0,414
414,175,2160,286329600.0,0,415
415,1430,1974,286588800.0,0,416
416,1365,1951,286675200.0,0,417
417,296,1723,287193600.0,0,418
418,235,1719,287539200.0,0,419
419,233,1715,287625600.0,0,420
420,266,2067,287625600.0,0,421
421,489,2195,287625600.0,0,422
422,266,1968,287712000.0,0,423
423,266,2065,287712000.0,0,424
424,900,1833,287798400.0,0,425
425,814,1952,287798400.0,0,426
426,1129,1933,287884800.0,0,427
427,1073,2194,287884800.0,0,428
428,31,1788,287971200.0,0,429
429,213,1847,287971200.0,0,430
430,194,2322,288316800.0,0,431
431,1328,1974,288489600.0,0,432
432,195,1815,288835200.0,0,433
433,258,1717,289008000.0,0,434
434,764,2151,289008000.0,0,435
435,31,1696,289094400.0,0,436
436,954,1853,289440000.0,0,437
437,185,1871,289699200.0,0,438
438,140,1875,289785600.0,0,439
439,609,1788,289872000.0,0,440
440,627,2052,289872000.0,0,441
441,298,2217,289872000.0,0,442
442,307,2114,289958400.0,0,443
443,977,1869,290044800.0,0,444
444,266,2080,290044800.0,0,445
445,535,1763,290131200.0,0,446
446,225,2062,290131200.0,0,447
447,724,1788,290217600.0,0,448
448,99,1697,290390400.0,0,449
449,1525,2058,290390400.0,0,450
450,1517,2183,290476800.0,0,451
451,1517,2217,290476800.0,0,452
452,1136,2130,290563200.0,0,453
453,678,1803,290649600.0,0,454
454,200,1829,290649600.0,0,455
455,527,1958,290649600.0,0,456
456,527,2028,290649600.0,0,457
457,527,2092,290649600.0,0,458
458,880,1940,290822400.0,0,459
459,880,2169,290995200.0,0,460
460,216,2058,291081600.0,0,461
461,352,2124,291081600.0,0,462
462,223,1885,291254400.0,0,463
463,310,1829,291340800.0,0,464
464,594,1905,291513600.0,0,465
465,535,1946,291600000.0,0,466
466,594,2114,291686400.0,0,467
467,1016,2052,291772800.0,0,468
468,826,2151,291772800.0,0,469
469,814,2097,291859200.0,0,470
470,142,1701,291945600.0,0,471
471,252,2067,291945600.0,0,472
472,703,1783,292032000.0,0,473
473,1350,1940,292032000.0,0,474
474,31,2064,292032000.0,0,475
475,703,2100,292032000.0,0,476
476,546,1828,292291200.0,0,477
477,333,1730,292464000.0,0,478
478,535,1918,292550400.0,0,479
479,253,2065,292550400.0,0,480
480,248,2078,292550400.0,0,481
481,235,2074,292723200.0,0,482
482,292,2124,292723200.0,0,483
483,467,1851,292982400.0,0,484
484,225,2060,293068800.0,0,485
485,110,1697,293155200.0,0,486
486,253,1717,293155200.0,0,487
487,199,1938,293155200.0,0,488
488,101,1950,293241600.0,0,489
489,441,2113,293241600.0,0,490
490,720,1787,293328000.0,0,491
491,720,1788,293328000.0,0,492
492,350,2074,293328000.0,0,493
493,449,2084,293328000.0,0,494
494,449,2116,293328000.0,0,495
495,166,2010,293414400.0,0,496
496,246,2061,293414400.0,0,497
497,140,1880,293500800.0,0,498
498,172,1875,293760000.0,0,499
499,225,2179,293760000.0,0,500
500,225,2186,293760000.0,0,501
501,720,1990,293846400.0,0,502
502,1332,1968,293932800.0,0,503
503,268,1718,294105600.0,0,504
504,268,1788,294105600.0,0,505
505,268,2074,294105600.0,0,506
506,104,2084,294278400.0,0,507
507,207,2122,294278400.0,0,508
508,1516,2142,294451200.0,0,509
509,735,2118,294537600.0,0,510
510,473,2066,294624000.0,0,511
511,473,2087,294624000.0,0,512
512,329,1728,294710400.0,0,513
513,462,1855,294710400.0,0,514
514,462,2010,294710400.0,0,515
515,310,1726,295228800.0,0,516
516,124,1697,295401600.0,0,517
517,223,2118,295401600.0,0,518
518,64,1788,295488000.0,0,519
519,942,1978,295574400.0,0,520
520,96,1697,295660800.0,0,521
521,266,1749,295747200.0,0,522
522,307,1725,295833600.0,0,523
523,550,1765,296006400.0,0,524
524,65,1970,296352000.0,0,525
525,994,2002,296352000.0,0,526
526,671,2029,296438400.0,0,527
527,352,1905,296524800.0,0,528
528,979,2153,296524800.0,0,529
529,688,1780,296697600.0,0,530
530,532,1761,296784000.0,0,531
531,1124,2167,296784000.0,0,532
532,210,1711,296870400.0,0,533
533,603,1824,297129600.0,0,534
534,723,2192,297129600.0,0,535
535,1128,1891,297216000.0,0,536
536,1590,2220,297302400.0,0,537
537,535,1812,297388800.0,0,538
538,201,1873,297475200.0,0,539
539,401,1880,297475200.0,0,540
540,188,2055,297561600.0,0,541
541,1194,2029,297734400.0,0,542
542,385,2184,297734400.0,0,543
543,1135,2030,297820800.0,0,544
544,352,1761,297907200.0,0,545
545,16,1832,297907200.0,0,546
546,555,1765,297993600.0,0,547
547,16,2014,297993600.0,0,548
548,207,1907,298166400.0,0,549
549,1104,1907,298339200.0,0,550
550,1194,1983,298425600.0,0,551
551,756,1793,298598400.0,0,552
552,289,1892,298598400.0,0,553
553,586,1912,298598400.0,0,554
554,784,1805,298944000.0,0,555
555,1256,1940,299030400.0,0,556
556,764,2115,299289600.0,0,557
557,129,1740,299808000.0,0,558
558,129,1742,299808000.0,0,559
559,350,1732,299980800.0,0,560
560,350,1922,299980800.0,0,561
561,526,1788,300153600.0,0,562
562,451,1748,300585600.0,0,563
563,451,1843,300585600.0,0,564
564,451,1749,300672000.0,0,565
565,526,1775,300672000.0,0,566
566,16,2089,300672000.0,0,567
567,451,2057,300844800.0,0,568
568,451,2064,300844800.0,0,569
569,451,2065,300844800.0,0,570
570,418,1990,301190400.0,0,571
571,298,1906,301449600.0,0,572
572,712,1787,302227200.0,0,573
573,994,2192,302400000.0,0,574
574,22,1690,302659200.0,0,575
575,1150,2070,303264000.0,0,576
576,292,2076,303264000.0,0,577
577,130,1787,303350400.0,0,578
578,113,1697,303436800.0,0,579
579,363,1752,303523200.0,0,580
580,466,2184,303782400.0,0,581
581,466,2074,303868800.0,0,582
582,251,1717,304041600.0,0,583
583,1129,1900,304819200.0,0,584
584,326,1728,305337600.0,0,585
585,326,1732,305337600.0,0,586
586,326,1744,305337600.0,0,587
587,784,1897,305424000.0,0,588
588,462,2133,305769600.0,0,589
589,246,2079,305942400.0,0,590
590,188,1709,306115200.0,0,591
591,687,2052,306115200.0,0,592
592,188,1757,306201600.0,0,593
593,300,1724,306460800.0,0,594
594,1281,1927,306460800.0,0,595
595,1029,2046,307065600.0,0,596
596,172,1705,307152000.0,0,597
597,385,1734,307324800.0,0,598
598,1206,1957,307584000.0,0,599
599,250,1950,308016000.0,0,600
600,459,1977,308102400.0,0,601
601,459,1890,308188800.0,0,602
602,1100,2069,308188800.0,0,603
603,459,2094,309225600.0,0,604
604,1156,1898,309571200.0,0,605
605,174,1791,309657600.0,0,606
606,946,2036,309657600.0,0,607
607,887,1832,310089600.0,0,608
608,758,1836,310262400.0,0,609
609,686,1780,310348800.0,0,610
610,723,1836,310348800.0,0,611
611,563,2127,310348800.0,0,612
612,1156,1920,310694400.0,0,613
613,440,2046,310694400.0,0,614
614,788,2057,310780800.0,0,615
615,788,2074,310780800.0,0,616
616,788,2080,310780800.0,0,617
617,16,1796,311212800.0,0,618
618,459,1750,311299200.0,0,619
619,577,1977,311299200.0,0,620
620,459,1791,311385600.0,0,621
621,459,1789,311472000.0,0,622
622,550,1827,311904000.0,0,623
623,550,1961,311904000.0,0,624
624,490,2218,311904000.0,0,625
625,1241,2220,312076800.0,0,626
626,735,1900,312163200.0,0,627
627,1477,2218,312163200.0,0,628
628,213,2218,312163200.0,0,629
629,296,2219,312163200.0,0,630
630,1050,2269,312163200.0,0,631
631,731,2219,312249600.0,0,632
632,247,1716,312336000.0,0,633
633,1429,1995,312336000.0,0,634
634,247,2075,312336000.0,0,635
635,143,2220,312336000.0,0,636
636,298,2218,312508800.0,0,637
637,266,2219,312508800.0,0,638
638,179,1706,312595200.0,0,639
639,535,1988,312768000.0,0,640
640,578,2387,312768000.0,0,641
641,550,1909,312854400.0,0,642
642,1336,2302,312854400.0,0,643
643,233,2079,313113600.0,0,644
644,1134,2220,313113600.0,0,645
645,109,2215,313200000.0,0,646
646,1143,2010,313372800.0,0,647
647,1559,2218,313459200.0,0,648
648,685,2302,313459200.0,0,649
649,1029,1865,313718400.0,0,650
650,223,1891,313718400.0,0,651
651,1588,2218,313804800.0,0,652
652,1588,2220,313804800.0,0,653
653,191,1832,313891200.0,0,654
654,191,1996,313891200.0,0,655
655,463,2219,313891200.0,0,656
656,878,2302,313891200.0,0,657
657,250,1789,313977600.0,0,658
658,1490,2220,313977600.0,0,659
659,695,2268,313977600.0,0,660
660,1301,2219,314064000.0,0,661
661,1156,2288,314064000.0,0,662
662,1517,2047,314323200.0,0,663
663,169,2266,314323200.0,0,664
664,830,2288,314323200.0,0,665
665,1252,1905,314409600.0,0,666
666,551,2105,314409600.0,0,667
667,362,2267,314409600.0,0,668
668,122,2267,314496000.0,0,669
669,995,2269,314496000.0,0,670
670,1569,2218,314582400.0,0,671
671,1198,2302,314582400.0,0,672
672,134,1699,314755200.0,0,673
673,134,1794,314755200.0,0,674
674,124,1884,314928000.0,0,675
675,717,1810,315014400.0,0,676
676,1252,2089,315187200.0,0,677
677,1156,1873,315360000.0,0,678
678,252,1749,315532800.0,0,679
679,651,2267,315532800.0,0,680
680,758,2266,315619200.0,0,681
681,769,1867,315792000.0,0,682
682,752,2266,315792000.0,0,683
683,692,1782,315878400.0,0,684
684,31,2079,315878400.0,0,685
685,35,2266,315878400.0,0,686
686,605,1771,315964800.0,0,687
687,225,2124,315964800.0,0,688
688,715,2219,316137600.0,0,689
689,1601,2267,316137600.0,0,690
690,458,2267,316396800.0,0,691
691,1036,2270,316396800.0,0,692
692,1092,2270,316396800.0,0,693
693,1634,2302,316396800.0,0,694
694,490,1790,316483200.0,0,695
695,1457,2064,316569600.0,0,696
696,130,1877,316656000.0,0,697
697,769,1930,316656000.0,0,698
698,661,2253,316742400.0,0,699
699,1610,2253,316742400.0,0,700
700,132,1699,316828800.0,0,701
701,636,1777,316828800.0,0,702
702,168,1913,316828800.0,0,703
703,1441,2155,316915200.0,0,704
704,279,2253,316915200.0,0,705
705,418,2254,316915200.0,0,706
706,1124,2278,316915200.0,0,707
707,1353,1945,317001600.0,0,708
708,1372,2218,317001600.0,0,709
709,1372,2219,317001600.0,0,710
710,772,2253,317001600.0,0,711
711,1074,2253,317001600.0,0,712
712,1081,2253,317001600.0,0,713
713,1345,2253,317001600.0,0,714
714,1409,1966,317088000.0,0,715
715,1005,2254,317088000.0,0,716
716,110,2254,317088000.0,0,717
717,842,2254,317088000.0,0,718
718,1124,2268,317088000.0,0,719
719,605,2288,317088000.0,0,720
720,1124,2002,317174400.0,0,721
721,83,2051,317174400.0,0,722
722,83,2269,317174400.0,0,723
723,793,2176,317260800.0,0,724
724,1620,2254,317260800.0,0,725
725,956,2073,317347200.0,0,726
726,659,2254,317347200.0,0,727
727,491,2253,317433600.0,0,728
728,1590,2253,317520000.0,0,729
729,1377,1978,317606400.0,0,730
730,459,1909,317692800.0,0,731
731,600,2278,317692800.0,0,732
732,7,2145,317779200.0,0,733
733,788,2068,317952000.0,0,734
734,575,2302,317952000.0,0,735
735,594,1901,318038400.0,0,736
736,877,1950,318038400.0,0,737
737,233,2080,318038400.0,0,738
738,411,2278,318038400.0,0,739
739,1301,1919,318124800.0,0,740
740,1594,2196,318297600.0,0,741
741,311,2254,318384000.0,0,742
742,977,2064,318470400.0,0,743
743,1241,1991,318556800.0,0,744
744,763,2267,318556800.0,0,745
745,199,1709,318643200.0,0,746
746,1565,2118,318729600.0,0,747
747,378,2269,318729600.0,0,748
748,1605,2278,318729600.0,0,749
749,1002,2254,318816000.0,0,750
750,602,1879,319075200.0,0,751
751,1156,2084,319161600.0,0,752
752,972,2254,319161600.0,0,753
753,1185,2069,319248000.0,0,754
754,958,2267,319248000.0,0,755
755,139,1700,319334400.0,0,756
756,284,2253,319334400.0,0,757
757,935,2267,319334400.0,0,758
758,414,2219,319420800.0,0,759
759,210,2220,319420800.0,0,760
760,1443,2254,319420800.0,0,761
761,1407,2266,319420800.0,0,762
762,235,1715,319507200.0,0,763
763,90,1788,319593600.0,0,764
764,627,2266,319766400.0,0,765
765,769,1797,319852800.0,0,766
766,92,1836,319852800.0,0,767
767,577,1912,319852800.0,0,768
768,769,1955,319852800.0,0,769
769,1218,2268,319852800.0,0,770
770,877,1997,319939200.0,0,771
771,76,1702,320025600.0,0,772
772,990,2254,320025600.0,0,773
773,130,1788,320198400.0,0,774
774,141,1813,320198400.0,0,775
775,7,1944,320198400.0,0,776
776,1353,1988,320198400.0,0,777
777,141,2005,320198400.0,0,778
778,141,1700,320544000.0,0,779
779,243,1716,320630400.0,0,780
780,543,2169,320716800.0,0,781
781,695,2266,320803200.0,0,782
782,303,1952,320889600.0,0,783
783,9,2187,321235200.0,0,784
784,35,1716,321321600.0,0,785
785,567,1767,321321600.0,0,786
786,244,1716,321494400.0,0,787
787,244,2074,321494400.0,0,788
788,244,2075,321494400.0,0,789
789,244,2082,321494400.0,0,790
790,244,2179,321494400.0,0,791
791,1283,2217,321494400.0,0,792
792,754,2051,321753600.0,0,793
793,1486,2114,321753600.0,0,794
794,72,1696,321840000.0,0,795
795,72,1951,321840000.0,0,796
796,1383,1958,321926400.0,0,797
797,1080,2056,321926400.0,0,798
798,440,1743,322012800.0,0,799
799,984,2254,322012800.0,0,800
800,155,1702,322099200.0,0,801
801,76,1836,322185600.0,0,802
802,185,1931,322185600.0,0,803
803,546,1939,322185600.0,0,804
804,722,1805,322272000.0,0,805
805,924,1843,322272000.0,0,806
806,924,2179,322272000.0,0,807
807,1076,2267,322358400.0,0,808
808,1424,2253,322444800.0,0,809
809,90,1834,322531200.0,0,810
810,535,1803,322617600.0,0,811
811,196,1709,322790400.0,0,812
812,1255,1907,322790400.0,0,813
813,1031,1928,322876800.0,0,814
